Number of parameters: 88901
input:120 hidden:100 layers:1, no dropout

[1,  1000] loss: 1.004
[1,  2000] loss: 0.984
[1,  3000] loss: 0.998
[1,  4000] loss: 1.007
[1,  5000] loss: 1.012
[1,  6000] loss: 0.980
[1,  7000] loss: 0.986
[1,  8000] loss: 0.996
[1,  9000] loss: 0.975
[1, 10000] loss: 1.038
[1, 11000] loss: 1.002
[1, 12000] loss: 1.004
[1, 13000] loss: 0.984
[1, 14000] loss: 1.031
[1, 15000] loss: 0.984
[1, 16000] loss: 1.004
[1, 17000] loss: 1.013
[1, 18000] loss: 0.990
[1, 19000] loss: 0.991
[1, 20000] loss: 0.997
[1, 21000] loss: 0.987
[1, 22000] loss: 0.983
[1, 23000] loss: 0.979
[1, 24000] loss: 0.984
[1, 25000] loss: 0.982
[1, 26000] loss: 0.984
[1, 27000] loss: 0.970
[1, 28000] loss: 0.979
[1] Test loss: 0.990
[2,  1000] loss: 0.976
[2,  2000] loss: 0.964
[2,  3000] loss: 0.967
[2,  4000] loss: 0.969
[2,  5000] loss: 0.978
[2,  6000] loss: 0.987
[2,  7000] loss: 0.971
[2,  8000] loss: 0.994
[2,  9000] loss: 0.984
[2, 10000] loss: 0.997
[2, 11000] loss: 0.968
[2, 12000] loss: 0.969
[2, 13000] loss: 0.997
[2, 14000] loss: 0.969
[2, 15000] loss: 0.967
[2, 16000] loss: 0.987
[2, 17000] loss: 0.966
[2, 18000] loss: 0.971
[2, 19000] loss: 0.956
[2, 20000] loss: 0.964
[2, 21000] loss: 0.973
[2, 22000] loss: 1.009
[2, 23000] loss: 0.982
[2, 24000] loss: 0.976
[2, 25000] loss: 0.983
[2, 26000] loss: 0.975
[2, 27000] loss: 0.986
[2, 28000] loss: 0.977
[2] Test loss: 0.980
[3,  1000] loss: 0.980
[3,  2000] loss: 0.967
[3,  3000] loss: 0.963
[3,  4000] loss: 0.988
[3,  5000] loss: 0.960
[3,  6000] loss: 0.965
[3,  7000] loss: 0.974
[3,  8000] loss: 0.986
[3,  9000] loss: 0.953
[3, 10000] loss: 0.957
[3, 11000] loss: 0.975
[3, 12000] loss: 0.956
[3, 13000] loss: 0.959
[3, 14000] loss: 0.967
[3, 15000] loss: 0.976
[3, 16000] loss: 0.957
[3, 17000] loss: 0.958
[3, 18000] loss: 0.974
[3, 19000] loss: 0.956
[3, 20000] loss: 0.955
[3, 21000] loss: 0.968
[3, 22000] loss: 0.965
[3, 23000] loss: 0.974
[3, 24000] loss: 0.971
[3, 25000] loss: 0.961
[3, 26000] loss: 0.952
[3, 27000] loss: 0.962
[3, 28000] loss: 0.972
[3] Test loss: 0.972
[4,  1000] loss: 0.949
[4,  2000] loss: 0.964
[4,  3000] loss: 0.975
[4,  4000] loss: 0.941
[4,  5000] loss: 0.964
[4,  6000] loss: 0.957
[4,  7000] loss: 0.956
[4,  8000] loss: 0.966
[4,  9000] loss: 0.960
[4, 10000] loss: 0.987
[4, 11000] loss: 0.928
[4, 12000] loss: 0.933
[4, 13000] loss: 0.955
[4, 14000] loss: 0.963
[4, 15000] loss: 0.966
[4, 16000] loss: 0.972
[4, 17000] loss: 0.955
[4, 18000] loss: 0.963
[4, 19000] loss: 0.967
[4, 20000] loss: 0.972
[4, 21000] loss: 0.947
[4, 22000] loss: 0.964
[4, 23000] loss: 0.969
[4, 24000] loss: 0.938
[4, 25000] loss: 0.952
[4, 26000] loss: 0.952
[4, 27000] loss: 0.933
[4, 28000] loss: 0.949
[4] Test loss: 0.973
[5,  1000] loss: 0.943
[5,  2000] loss: 0.927
[5,  3000] loss: 0.950
[5,  4000] loss: 0.945
[5,  5000] loss: 0.941
[5,  6000] loss: 0.941
[5,  7000] loss: 0.944
[5,  8000] loss: 0.932
[5,  9000] loss: 0.957
[5, 10000] loss: 0.943
[5, 11000] loss: 0.944
[5, 12000] loss: 0.940
[5, 13000] loss: 0.941
[5, 14000] loss: 0.953
[5, 15000] loss: 0.958
[5, 16000] loss: 0.961
[5, 17000] loss: 0.961
[5, 18000] loss: 0.940
[5, 19000] loss: 0.946
[5, 20000] loss: 0.950
[5, 21000] loss: 0.964
[5, 22000] loss: 0.947
[5, 23000] loss: 0.954
[5, 24000] loss: 0.967
[5, 25000] loss: 0.961
[5, 26000] loss: 0.951
[5, 27000] loss: 0.937
[5, 28000] loss: 0.971
[5] Test loss: 0.971
[6,  1000] loss: 0.941
[6,  2000] loss: 0.928
[6,  3000] loss: 0.946
[6,  4000] loss: 0.938
[6,  5000] loss: 0.922
[6,  6000] loss: 0.936
[6,  7000] loss: 0.933
[6,  8000] loss: 0.934
[6,  9000] loss: 0.938
[6, 10000] loss: 0.961
[6, 11000] loss: 0.958
[6, 12000] loss: 0.951
[6, 13000] loss: 0.937
[6, 14000] loss: 0.937
[6, 15000] loss: 0.954
[6, 16000] loss: 0.936
[6, 17000] loss: 0.935
[6, 18000] loss: 0.955
[6, 19000] loss: 0.949
[6, 20000] loss: 0.932
[6, 21000] loss: 0.943
[6, 22000] loss: 0.947
[6, 23000] loss: 0.936
[6, 24000] loss: 0.956
[6, 25000] loss: 0.933
[6, 26000] loss: 0.959
[6, 27000] loss: 0.942
[6, 28000] loss: 0.961
[6] Test loss: 0.957
[7,  1000] loss: 0.916
[7,  2000] loss: 0.927
[7,  3000] loss: 0.931
[7,  4000] loss: 0.943
[7,  5000] loss: 0.942
[7,  6000] loss: 0.917
[7,  7000] loss: 0.923
[7,  8000] loss: 0.935
[7,  9000] loss: 0.931
[7, 10000] loss: 0.940
[7, 11000] loss: 0.929
[7, 12000] loss: 0.953
[7, 13000] loss: 0.946
[7, 14000] loss: 0.946
[7, 15000] loss: 0.908
[7, 16000] loss: 0.939
[7, 17000] loss: 0.922
[7, 18000] loss: 0.947
[7, 19000] loss: 0.954
[7, 20000] loss: 0.939
[7, 21000] loss: 0.950
[7, 22000] loss: 0.933
[7, 23000] loss: 0.951
[7, 24000] loss: 0.936
[7, 25000] loss: 0.937
[7, 26000] loss: 0.924
[7, 27000] loss: 0.955
[7, 28000] loss: 0.939
[7] Test loss: 0.958
[8,  1000] loss: 0.892
[8,  2000] loss: 0.932
[8,  3000] loss: 0.934
[8,  4000] loss: 0.929
[8,  5000] loss: 0.925
[8,  6000] loss: 0.930
[8,  7000] loss: 0.945
[8,  8000] loss: 0.960
[8,  9000] loss: 0.932
[8, 10000] loss: 0.941
[8, 11000] loss: 0.930
[8, 12000] loss: 0.929
[8, 13000] loss: 0.923
[8, 14000] loss: 0.933
[8, 15000] loss: 0.931
[8, 16000] loss: 0.937
[8, 17000] loss: 0.930
[8, 18000] loss: 0.940
[8, 19000] loss: 0.919
[8, 20000] loss: 0.922
[8, 21000] loss: 0.934
[8, 22000] loss: 0.940
[8, 23000] loss: 0.922
[8, 24000] loss: 0.925
[8, 25000] loss: 0.933
[8, 26000] loss: 0.947
[8, 27000] loss: 0.932
[8, 28000] loss: 0.929
[8] Test loss: 0.962
[9,  1000] loss: 0.914
[9,  2000] loss: 0.915
[9,  3000] loss: 0.930
[9,  4000] loss: 0.919
[9,  5000] loss: 0.925
[9,  6000] loss: 0.914
[9,  7000] loss: 0.933
[9,  8000] loss: 0.918
[9,  9000] loss: 0.922
[9, 10000] loss: 0.917
[9, 11000] loss: 0.931
[9, 12000] loss: 0.933
[9, 13000] loss: 0.923
[9, 14000] loss: 0.916
[9, 15000] loss: 0.932
[9, 16000] loss: 0.931
[9, 17000] loss: 0.952
[9, 18000] loss: 0.922
[9, 19000] loss: 0.931
[9, 20000] loss: 0.932
[9, 21000] loss: 0.925
[9, 22000] loss: 0.924
[9, 23000] loss: 0.934
[9, 24000] loss: 0.946
[9, 25000] loss: 0.935
[9, 26000] loss: 0.936
[9, 27000] loss: 0.924
[9, 28000] loss: 0.936
[9] Test loss: 0.952
[10,  1000] loss: 0.937
[10,  2000] loss: 0.897
[10,  3000] loss: 0.906
[10,  4000] loss: 0.903
[10,  5000] loss: 0.934
[10,  6000] loss: 0.949
[10,  7000] loss: 0.915
[10,  8000] loss: 0.919
[10,  9000] loss: 0.902
[10, 10000] loss: 0.919
[10, 11000] loss: 0.924
[10, 12000] loss: 0.926
[10, 13000] loss: 0.936
[10, 14000] loss: 0.933
[10, 15000] loss: 0.949
[10, 16000] loss: 0.926
[10, 17000] loss: 0.900
[10, 18000] loss: 0.921
[10, 19000] loss: 0.935
[10, 20000] loss: 0.931
[10, 21000] loss: 0.918
[10, 22000] loss: 0.928
[10, 23000] loss: 0.911
[10, 24000] loss: 0.924
[10, 25000] loss: 0.920
[10, 26000] loss: 0.925
[10, 27000] loss: 0.932
[10, 28000] loss: 0.935
[10] Test loss: 0.952
[11,  1000] loss: 0.912
[11,  2000] loss: 0.910
[11,  3000] loss: 0.907
[11,  4000] loss: 0.917
[11,  5000] loss: 0.913
[11,  6000] loss: 0.920
[11,  7000] loss: 0.918
[11,  8000] loss: 0.924
[11,  9000] loss: 0.910
[11, 10000] loss: 0.922
[11, 11000] loss: 0.913
[11, 12000] loss: 0.918
[11, 13000] loss: 0.945
[11, 14000] loss: 0.912
[11, 15000] loss: 0.931
[11, 16000] loss: 0.921
[11, 17000] loss: 0.933
[11, 18000] loss: 0.918
[11, 19000] loss: 0.923
[11, 20000] loss: 0.904
[11, 21000] loss: 0.933
[11, 22000] loss: 0.930
[11, 23000] loss: 0.903
[11, 24000] loss: 0.924
[11, 25000] loss: 0.938
[11, 26000] loss: 0.905
[11, 27000] loss: 0.923
[11, 28000] loss: 0.924
[11] Test loss: 0.951
[12,  1000] loss: 0.917
[12,  2000] loss: 0.901
[12,  3000] loss: 0.913
[12,  4000] loss: 0.918
[12,  5000] loss: 0.906
[12,  6000] loss: 0.909
[12,  7000] loss: 0.914
[12,  8000] loss: 0.927
[12,  9000] loss: 0.897
[12, 10000] loss: 0.922
[12, 11000] loss: 0.908
[12, 12000] loss: 0.915
[12, 13000] loss: 0.954
[12, 14000] loss: 0.913
[12, 15000] loss: 0.914
[12, 16000] loss: 0.924
[12, 17000] loss: 0.923
[12, 18000] loss: 0.931
[12, 19000] loss: 0.922
[12, 20000] loss: 0.911
[12, 21000] loss: 0.895
[12, 22000] loss: 0.931
[12, 23000] loss: 0.919
[12, 24000] loss: 0.915
[12, 25000] loss: 0.912
[12, 26000] loss: 0.929
[12, 27000] loss: 0.916
[12, 28000] loss: 0.908
[12] Test loss: 0.951
[13,  1000] loss: 0.905
[13,  2000] loss: 0.899
[13,  3000] loss: 0.902
[13,  4000] loss: 0.902
[13,  5000] loss: 0.891
[13,  6000] loss: 0.908
[13,  7000] loss: 0.916
[13,  8000] loss: 0.919
[13,  9000] loss: 0.926
[13, 10000] loss: 0.906
[13, 11000] loss: 0.909
[13, 12000] loss: 0.919
[13, 13000] loss: 0.906
[13, 14000] loss: 0.896
[13, 15000] loss: 0.910
[13, 16000] loss: 0.934
[13, 17000] loss: 0.918
[13, 18000] loss: 0.917
[13, 19000] loss: 0.905
[13, 20000] loss: 0.935
[13, 21000] loss: 0.900
[13, 22000] loss: 0.930
[13, 23000] loss: 0.919
[13, 24000] loss: 0.920
[13, 25000] loss: 0.934
[13, 26000] loss: 0.921
[13, 27000] loss: 0.931
[13, 28000] loss: 0.899
[13] Test loss: 0.954
[14,  1000] loss: 0.906
[14,  2000] loss: 0.902
[14,  3000] loss: 0.902
[14,  4000] loss: 0.901
[14,  5000] loss: 0.911
[14,  6000] loss: 0.913
[14,  7000] loss: 0.902
[14,  8000] loss: 0.901
[14,  9000] loss: 0.903
[14, 10000] loss: 0.929
[14, 11000] loss: 0.914
[14, 12000] loss: 0.901
[14, 13000] loss: 0.919
[14, 14000] loss: 0.910
[14, 15000] loss: 0.951
[14, 16000] loss: 0.905
[14, 17000] loss: 0.920
[14, 18000] loss: 0.920
[14, 19000] loss: 0.905
[14, 20000] loss: 0.924
[14, 21000] loss: 0.895
[14, 22000] loss: 0.925
[14, 23000] loss: 0.904
[14, 24000] loss: 0.906
[14, 25000] loss: 0.902
[14, 26000] loss: 0.922
[14, 27000] loss: 0.905
[14, 28000] loss: 0.905
[14] Test loss: 0.977
[15,  1000] loss: 0.885
[15,  2000] loss: 0.900
[15,  3000] loss: 0.914
[15,  4000] loss: 0.896
[15,  5000] loss: 0.912
[15,  6000] loss: 0.905
[15,  7000] loss: 0.902
[15,  8000] loss: 0.897
[15,  9000] loss: 0.876
[15, 10000] loss: 0.898
[15, 11000] loss: 0.902
[15, 12000] loss: 0.910
[15, 13000] loss: 0.897
[15, 14000] loss: 0.917
[15, 15000] loss: 0.926
[15, 16000] loss: 0.898
[15, 17000] loss: 0.908
[15, 18000] loss: 0.909
[15, 19000] loss: 0.901
[15, 20000] loss: 0.913
[15, 21000] loss: 0.917
[15, 22000] loss: 0.927
[15, 23000] loss: 0.919
[15, 24000] loss: 0.930
[15, 25000] loss: 0.928
[15, 26000] loss: 0.910
[15, 27000] loss: 0.892
[15, 28000] loss: 0.929
[15] Test loss: 0.948
[16,  1000] loss: 0.906
[16,  2000] loss: 0.914
[16,  3000] loss: 0.901
[16,  4000] loss: 0.897
[16,  5000] loss: 0.891
[16,  6000] loss: 0.899
[16,  7000] loss: 0.895
[16,  8000] loss: 0.903
[16,  9000] loss: 0.905
[16, 10000] loss: 0.905
[16, 11000] loss: 0.903
[16, 12000] loss: 0.936
[16, 13000] loss: 0.905
[16, 14000] loss: 0.910
[16, 15000] loss: 0.908
[16, 16000] loss: 0.904
[16, 17000] loss: 0.886
[16, 18000] loss: 0.915
[16, 19000] loss: 0.906
[16, 20000] loss: 0.906
[16, 21000] loss: 0.912
[16, 22000] loss: 0.882
[16, 23000] loss: 0.902
[16, 24000] loss: 0.923
[16, 25000] loss: 0.913
[16, 26000] loss: 0.932
[16, 27000] loss: 0.919
[16, 28000] loss: 0.897
[16] Test loss: 0.948
[17,  1000] loss: 0.891
[17,  2000] loss: 0.892
[17,  3000] loss: 0.895
[17,  4000] loss: 0.894
[17,  5000] loss: 0.897
[17,  6000] loss: 0.904
[17,  7000] loss: 0.897
[17,  8000] loss: 0.891
[17,  9000] loss: 0.893
[17, 10000] loss: 0.896
[17, 11000] loss: 0.909
[17, 12000] loss: 0.917
[17, 13000] loss: 0.901
[17, 14000] loss: 0.925
[17, 15000] loss: 0.892
[17, 16000] loss: 0.912
[17, 17000] loss: 0.903
[17, 18000] loss: 0.889
[17, 19000] loss: 0.901
[17, 20000] loss: 0.905
[17, 21000] loss: 0.898
[17, 22000] loss: 0.907
[17, 23000] loss: 0.913
[17, 24000] loss: 0.911
[17, 25000] loss: 0.916
[17, 26000] loss: 0.909
[17, 27000] loss: 0.911
[17, 28000] loss: 0.935
[17] Test loss: 0.954
[18,  1000] loss: 0.892
[18,  2000] loss: 0.895
[18,  3000] loss: 0.912
[18,  4000] loss: 0.907
[18,  5000] loss: 0.889
[18,  6000] loss: 0.917
[18,  7000] loss: 0.900
[18,  8000] loss: 0.929
[18,  9000] loss: 0.911
[18, 10000] loss: 0.885
[18, 11000] loss: 0.874
[18, 12000] loss: 0.893
[18, 13000] loss: 0.888
[18, 14000] loss: 0.894
[18, 15000] loss: 0.898
[18, 16000] loss: 0.899
[18, 17000] loss: 0.904
[18, 18000] loss: 0.892
[18, 19000] loss: 0.923
[18, 20000] loss: 0.899
[18, 21000] loss: 0.909
[18, 22000] loss: 0.899
[18, 23000] loss: 0.893
[18, 24000] loss: 0.902
[18, 25000] loss: 0.906
[18, 26000] loss: 0.912
[18, 27000] loss: 0.909
[18, 28000] loss: 0.902
[18] Test loss: 0.949
[19,  1000] loss: 0.889
[19,  2000] loss: 0.903
[19,  3000] loss: 0.896
[19,  4000] loss: 0.889
[19,  5000] loss: 0.893
[19,  6000] loss: 0.889
[19,  7000] loss: 0.870
[19,  8000] loss: 0.882
[19,  9000] loss: 0.893
[19, 10000] loss: 0.898
[19, 11000] loss: 0.911
[19, 12000] loss: 0.898
[19, 13000] loss: 0.897
[19, 14000] loss: 0.871
[19, 15000] loss: 0.899
[19, 16000] loss: 0.897
[19, 17000] loss: 0.916
[19, 18000] loss: 0.911
[19, 19000] loss: 0.898
[19, 20000] loss: 0.928
[19, 21000] loss: 0.901
[19, 22000] loss: 0.909
[19, 23000] loss: 0.917
[19, 24000] loss: 0.891
[19, 25000] loss: 0.908
[19, 26000] loss: 0.901
[19, 27000] loss: 0.905
[19, 28000] loss: 0.912
[19] Test loss: 0.949
[20,  1000] loss: 0.870
[20,  2000] loss: 0.892
[20,  3000] loss: 0.886
[20,  4000] loss: 0.896
[20,  5000] loss: 0.898
[20,  6000] loss: 0.911
[20,  7000] loss: 0.893
[20,  8000] loss: 0.895
[20,  9000] loss: 0.890
[20, 10000] loss: 0.894
[20, 11000] loss: 0.902
[20, 12000] loss: 0.886
[20, 13000] loss: 0.888
[20, 14000] loss: 0.890
[20, 15000] loss: 0.911
[20, 16000] loss: 0.920
[20, 17000] loss: 0.899
[20, 18000] loss: 0.892
[20, 19000] loss: 0.882
